id,bg,en,lat,type,level,topic
ge_00001,კულტურული,Cultural,k'ult'uruli,ADJECTIVE,EASY,none
ge_00002,სერიოზული,Serious,seriozuli,ADJECTIVE,EASY,none
ge_00003,ხშირი,Frequent / Often,khshiri,ADJECTIVE,EASY,none
ge_00004,მშვიდი,Calm / Peaceful,mshvidi,ADJECTIVE,EASY,none
ge_00005,მყუდრო,Cozy,mqudro,ADJECTIVE,EASY,none
ge_00006,საინტერესო,Interesting / Captivating,sainteresо,ADJECTIVE,EASY,none
ge_00007,სასარგებლო,Useful / Beneficial,sasargeblo,ADJECTIVE,EASY,none
ge_00008,უაზრო,Meaningless / Nonsensical,uazro,ADJECTIVE,EASY,none
ge_00009,კეთილი,Kind,k'etili,ADJECTIVE,EASY,none
ge_00010,მამაცი,Brave / Courageous,mamatsi,ADJECTIVE,EASY,none
ge_00011,ჭკვიანი,Smart / Clever,ch'k'viani,ADJECTIVE,EASY,none
ge_00012,პასუხისმგებელი,Responsible,p'asukhisamgebeli,ADJECTIVE,EASY,none
ge_00013,დაღლილი,Tired / Exhausted,daghlili,ADJECTIVE,EASY,none
ge_00014,გემრიელი,Delicious / Tasty,gemrieli,ADJECTIVE,EASY,none
ge_00015,ცხარე,Spicy / Hot,tskhare,ADJECTIVE,EASY,none
ge_00016,მჟავე,Sour / Acidic,mzhhave,ADJECTIVE,EASY,none
ge_00017,ნათელი,Bright / Clear (color or light),nateli,ADJECTIVE,EASY,none
ge_00018,ბნელი,Dark,bneli,ADJECTIVE,EASY,none
ge_00019,სწრაფი,Fast / Quick,st'srap'i,ADJECTIVE,EASY,none
ge_00020,ნელი,Slow,neli,ADJECTIVE,EASY,none
ge_00021,უცხო,Foreign / Strange,utskho,ADJECTIVE,EASY,none
ge_00022,ადგილობრივი,Local,adgilobrivi,ADJECTIVE,EASY,none
ge_00023,მნიშვნელოვანი,Important / Significant,mnishvnelovani,ADJECTIVE,EASY,none
ge_00024,საიდუმლო,Secret / Mysterious,saidumlo,ADJECTIVE,EASY,none
ge_00025,საიმედო,Reliable / Trustworthy,saimedo,ADJECTIVE,EASY,none
ge_00026,ღია,"Open (e.g., door, opportunity, color)",ghia,ADJECTIVE,EASY,none
ge_00027,დახურული,Closed,dakhuruli,ADJECTIVE,EASY,none
ge_00028,რთული,Difficult / Hard / Complex,rtuli,ADJECTIVE,EASY,none
ge_00029,მარტივი,Simple / Easy,mart'ivi,ADJECTIVE,EASY,none
ge_00030,გამოცდილი,Experienced,gamotsdili,ADJECTIVE,EASY,none
ge_00031,ახალგაზრდა,Young,akhalgazrda,ADJECTIVE,EASY,none
ge_00032,ხანდაზმული,Elderly / Aged,khandazmuli,ADJECTIVE,EASY,none
ge_00033,თავისუფალი,Free / Independent,tavisupali,ADJECTIVE,EASY,none
ge_00034,საყვარელი,Favorite / Beloved / Cute,saq'vareli,ADJECTIVE,EASY,none
ge_00035,ყოველდღიური,Everyday / Daily,q'oveldghiuri,ADJECTIVE,EASY,none
ge_00036,ცნობილი,Famous / Well-known,tsnobili,ADJECTIVE,EASY,none
ge_00037,უცნობი,Unknown,utsnobi,ADJECTIVE,EASY,none
ge_00038,სავალდებულო,Mandatory / Compulsory,savalddebulo,ADJECTIVE,EASY,none
ge_00039,ბუნებრივი,Natural,bunebrivi,ADJECTIVE,EASY,none
ge_00040,გამარჯობა,Hello,gamarjoba,SHORT,EASY,CONVERSATION
ge_00041,დილა მშვიდობისა,Good morning,dila mshvidobisa,PHRASE,EASY,CONVERSATION
ge_00042,ნახვამდის,Goodbye,nakhvamdis,SHORT,EASY,CONVERSATION
ge_00043,როგორ ხარ?,How are you? (singular/informal),rogor khar?,PHRASE,EASY,CONVERSATION
ge_00044,მადლობა,Thank you,madloba,SHORT,EASY,CONVERSATION
ge_00045,არაფრის,You're welcome (It's nothing),arapris,SHORT,EASY,CONVERSATION
ge_00046,კი / არა,Yes / No,ki / ara,SHORT,EASY,CONVERSATION
ge_00047,ბოდიში,Excuse me / Sorry,bodishi,SHORT,EASY,CONVERSATION
ge_00048,გთხოვთ,Please,gthkhovt,SHORT,EASY,CONVERSATION
ge_00049,მიყვარხარ,I love you,miq'varkhar,SHORT,EASY,CONVERSATION
ge_00050,საღამო მშვიდობისა,Good evening,saghamo mshvidobisa,PHRASE,EASY,CONVERSATION
ge_00051,ღამე მშვიდობისა,Good night,ghame mshvidobisa,PHRASE,EASY,CONVERSATION
ge_00052,ძალიან კარგად,Very well,dzalian kargad,PHRASE,EASY,CONVERSATION
ge_00053,რა გქვია?,What is your name?,ra gkvia?,PHRASE,EASY,CONVERSATION
ge_00054,ჩემი სახელია...,My name is...,chemi sakhelia...,PHRASE,EASY,CONVERSATION
ge_00055,საიდან ხარ?,Where are you from?,saidan khar?,PHRASE,EASY,CONVERSATION
ge_00056,მშვენიერი,Wonderful / Great,mshvenieri,SHORT,EASY,CONVERSATION
ge_00057,გილოცავ!,Congratulations!,gilocav!,SHORT,EASY,CONVERSATION
ge_00058,რა ღირს?,How much does it cost?,ra ghirs?,PHRASE,EASY,CONVERSATION
ge_00059,გაიხარე!,"Cheers! / Be happy! (A common, versatile response)",gaikhare!,SHORT,EASY,CONVERSATION
ge_00060,წერს,He writes,ts'ers,VERB,EASY,
ge_00061,კითხულობს,He reads,kitkhulobs,VERB,EASY,
ge_00062,ლაპარაკობს,He speaks/talks,lap'arak'obs,VERB,EASY,
ge_00063,ჭამს,He eats,ch'ams,VERB,EASY,
ge_00064,სვამს,He drinks,svams,VERB,EASY,
ge_00065,ცხოვრობს,He lives,tskhovrobs,VERB,EASY,
ge_00066,მუშაობს,He works,mushaobs,VERB,EASY,
ge_00067,სწავლობს,He studies/learns,st's'avlobs,VERB,EASY,
ge_00068,უყურებს,"He watches (e.g., TV)",uq'urebs,VERB,EASY,
ge_00069,ხედავს,He sees,khedavs,VERB,EASY,
ge_00070,ისმენს,He listens (to),ismens,VERB,EASY,
ge_00071,იცის,He knows (a fact/how to),itsis,VERB,EASY,
ge_00072,ფიქრობს,He thinks,pikrobs,VERB,EASY,
ge_00073,იცინის,He laughs,itsinis,VERB,EASY,
ge_00074,ტირის,He cries,t'iris,VERB,EASY,
ge_00075,მღერის,He sings,mgheris,VERB,EASY,
ge_00076,ცეკვავს,He dances,tsek'vavs,VERB,EASY,
ge_00077,თამაშობს,He plays (a game/music),tamashobs,VERB,EASY,
ge_00078,დგას,He stands,dgas,VERB,EASY,
ge_00079,ზის,He sits,zis,VERB,EASY,
ge_00080,წევს,He lies down,ts'evs,VERB,EASY,
ge_00081,სძინავს,He sleeps,sdzinavs,VERB,EASY,
ge_00082,მიდის,He goes/is going (general),midis,VERB,EASY,
ge_00083,მოდის,He comes/is coming (to),modis,VERB,EASY,
ge_00084,ჩადის,He goes down/arrives,chadis,VERB,EASY,
ge_00085,ამოდის,He comes up,amodis,VERB,EASY,
ge_00086,ყიდულობს,He buys,q'idulobs,VERB,EASY,
ge_00087,ყიდის,He sells,q'idis,VERB,EASY,
ge_00088,აშენებს,He builds,ashenebs,VERB,EASY,
ge_00089,აძლევს,He gives (it to someone),adzlevs,VERB,EASY,
ge_00090,ართმევს,He takes (it from someone),artmevs,VERB,EASY,
ge_00091,ეხმარება,He helps (someone),ekhmareba,VERB,EASY,
ge_00092,აცვია,He wears/is wearing (clothes),atsvia,VERB,EASY,
ge_00093,აკეთებს,He does/makes,ak'et'ebs,VERB,EASY,
ge_00094,აჩერებს,He stops (something/someone),acherebs,VERB,EASY,
ge_00095,რჩება,He remains/stays,rcheba,VERB,EASY,
ge_00096,იწყებს,He begins/starts (something),i'ts'q'ebs,VERB,EASY,
ge_00097,ამთავრებს,He finishes,amtavrebs,VERB,EASY,
ge_00098,უნდა,He wants/should,unda,VERB,EASY,
ge_00099,შეუძლია,He can/is able to,sheudzlia,VERB,EASY,
ge_00100,ოთახი,room,otakhi,SHORT,EASY,HOUSEHOLD
ge_00101,ავეჯი,furniture,aveji,SHORT,EASY,HOUSEHOLD
ge_00102,მაგიდა,table,magida,SHORT,EASY,HOUSEHOLD
ge_00103,სკამი,chair,sk'ami,SHORT,EASY,HOUSEHOLD
ge_00104,დივანი,sofa/couch,divani,SHORT,EASY,LIVING ROOM
ge_00105,კარადა,closet/cupboard,k'arada,SHORT,EASY,HOUSEHOLD
ge_00106,თარო,shelf,taro,SHORT,EASY,HOUSEHOLD
ge_00107,ფანჯარა,window,panjara,SHORT,EASY,HOUSEHOLD
ge_00108,კარი,door,k'ari,SHORT,EASY,HOUSEHOLD
ge_00109,ფარდა,curtain,parda,SHORT,EASY,HOUSEHOLD
ge_00110,ხალიჩა,rug/carpet,khalicha,SHORT,EASY,HOUSEHOLD
ge_00111,ნათურა,lamp/lightbulb,natura,SHORT,EASY,HOUSEHOLD
ge_00112,საათი,clock/watch,saati,SHORT,EASY,HOUSEHOLD
ge_00113,ტელევიზორი,television,televizori,SHORT,EASY,LIVING ROOM
