id,bg,en,lat,type,level,topic,,,,
bg_00001,А а,A a,Like 'a' in father,ALPHABET,EASY,Grammar,,,,
bg_00002,Б б,B b,Like 'b' in ball,ALPHABET,EASY,Grammar,,,,
bg_00003,В в,V v,Like 'v' in vet,ALPHABET,EASY,Grammar,,,,
bg_00004,Г г,G g,Like 'g' in go,ALPHABET,EASY,Grammar,,,,
bg_00005,Д д,D d,Like 'd' in dog,ALPHABET,EASY,Grammar,,,,
bg_00006,Е е,E e,Like 'e' in bed,ALPHABET,EASY,Grammar,,,,Body
bg_00007,Ж ж,Zh zh,"Like 's' in pleasure, or French 'j'",ALPHABET,EASY,Grammar,,,,Commerce
bg_00008,З з,Z z,Like 'z' in zoo,ALPHABET,EASY,Grammar,,,,Communication
bg_00009,И и,I i,Like 'ee' in see (or short 'i' in it),ALPHABET,EASY,Grammar,,,,Date/Time
bg_00010,Й й,Y y,Like 'y' in yes (a short 'i' sound),ALPHABET,EASY,Grammar,,,,Education
bg_00011,К к,K k,Like 'k' in kite,ALPHABET,EASY,Grammar,,,,Food and Drink
bg_00012,Л л,L l,Like 'l' in light,ALPHABET,EASY,Grammar,,,,Grammar
bg_00013,М м,M m,Like 'm' in man,ALPHABET,EASY,Grammar,,,,Health
bg_00014,Н н,N n,Like 'n' in no,ALPHABET,EASY,Grammar,,,,Home
bg_00015,О о,O o,Like 'o' in lot (short 'o' sound),ALPHABET,EASY,Grammar,,,,Human environment
bg_00016,П п,P p,Like 'p' in pin,ALPHABET,EASY,Grammar,,,,Leisure
bg_00017,Р р,R r,Rolled or trilled 'r' (similar to Spanish),ALPHABET,EASY,Grammar,,,,Living Nature
bg_00018,С с,S s,Like 's' in sun,ALPHABET,EASY,Grammar,,,,Mechanical/Technical
bg_00019,Т т,T t,Like 't' in top,ALPHABET,EASY,Grammar,,,,Number
bg_00020,У у,U u,Like 'oo' in food (or short 'oo' in put),ALPHABET,EASY,Grammar,,,,People
bg_00021,Ф ф,F f,Like 'f' in fan,ALPHABET,EASY,Grammar,,,,Society
bg_00022,Х х,Kh kh,"Guttural 'h', like 'ch' in Scottish loch",ALPHABET,EASY,Grammar,,,,Travel
bg_00023,Ц ц,Ts ts,Like 'ts' in cats,ALPHABET,EASY,Grammar,,,,Weather
bg_00024,Ч ч,Ch ch,Like 'ch' in church,ALPHABET,EASY,Grammar,,,,Work
bg_00025,Ш ш,Sh sh,Like 'sh' in ship,ALPHABET,EASY,Grammar,,,,World
bg_00026,Щ щ,SHT sht,"A composite sound: sh + t (e.g., freshtyle)",ALPHABET,EASY,Grammar,,,,
bg_00027,Ъ ъ,Ǎ ǎ,"The 'schwa' or indeterminate vowel, similar to 'u' in under or the first 'a' in about",ALPHABET,EASY,Grammar,,,,0
bg_00028,Ь ь,(soft sign),"Used only after 'O', which is a rare sound. It does not soften a consonant in Bulgarian.",ALPHABET,EASY,Grammar,,,,
bg_00029,Ю ю,Yu yu,Like 'you' in you,ALPHABET,EASY,Grammar,,,,
bg_00030,Я я,Ya ya,Like 'ya' in yard,ALPHABET,EASY,Grammar,,,,
bg_00031,Ударението понякога ме обърква.,The accent sometimes confuses me.,Udarenieto ponyakoga me obŭrkva.,MEDIUM PHRASE,EASY,none,,,,
bg_00032,право x 2,a right; Law (as a university degree), pravo x 2,MEDIUM,EASY,Society,,,,
bg_00033,скорост (f.) x2,speed; gear, skorost (f.) x2,MEDIUM,EASY,Travel,,,,
bg_00034,шофьорска книжка,driver's license, shof’orska knizhka,MEDIUM PHRASE,EASY,Travel,,,,
bg_00035,плетѐ/-а̀,knit, pletè/-à,VERB,EASY,none,,,,
